isbn	제목	comments
978-89-449-8469-3	식물과학의 이해	생명과학, 식물
979-11-5943-187-6	유전체 데이터 분석 2	생명과학, 유전체 분석
979-11-6226-354-9	언어와 언어학	언어학, linguistics
979-11-85305-94-3	유전체데이터분석1	생명과학, 유전체분석
979-11-5664-575-9	쉽게 배우는 자료구조 with 파이썬	정보/통신, 컴퓨터 공학, 자료구조
979-11-6224-418-0	데이터 과학을 위한 통계	수학, 데이터 과학, 통계,
979-11-5664-435-4	데이터베이스 for Beginner	컴퓨터공학, 데이터베이스
979-11-5664-407-1	쉽게 배우는 운영체제	컴퓨터 공학, 운영체제
978-89-6824-090-4	캠벨 생명과학 11판	생명과학
979-11-6224-047-2	처음 배우는 데이터 과학	데이터 과학
979-11-6175-384-3	파이썬을 활용한 생명정보학	생명과학
		
979-11-6224-573-6	파이썬을 활용한 베이지안 통계	수학, 데이터 과학, 통계
979-11-6175-476-5	생명정보학 알고리즘 파이썬으로 구현하는 생명정보학 알고리즘	생명과학,
979-11-5664-590-0	컴퓨팅 사고력을 키우는 이산수학	이산수학
979-11-6175-603-5	생물정보학 알고리듬	생명과학, 생물정보학
979-11-9660288-1-1	파이썬을 이용한 비트코인 자동매매	경제/경영, 비트코인, 돈
979-11-5664-585-6	데이터 과학을 위한 파이썬 머신러닝	정보/통신, 데이터 과학, 머신러닝
978-89-6824-051-5	진화적 분석	생명과학
978-89-5881-258-6	식물 유전자, 유전체 그리고 유전학	식물, 유전체
979-11-5664-436-1	데이터 과학을 위한 파이썬 프로그래밍	컴퓨터 공학, 컴퓨터 프로그래밍, 파이썬
979-11-5664-431-6	데이터베이스 개론	컴퓨터 공학, 데이터베이스
979-11-6224-320-6	파이썬 증권 데이터 분석	경제/경영, 주식, 돈
979-11-5971-186-2	대학물리학 10판	물리학, 전공서
978-89-5881-284-5	식물학	생명과학, 식물
979-11-5664-513-9	난생처음 R 코딩 & 데이터 분석	정보/통신, 데이터 과학, R
979-11-5664-459-0	모두를 위한 R 데이터 분석 입문	정보/통신, 데이터 과학, R
